Component	Dif(1e-5 cm^2/s)	Fitting_error(1e-5 cm^2/s)
MSD_folded1	0.0004	0.0002
MSD_folded2	0.0029	0.0015
MSD_folded5	0.0014	0.0005
MSD_folded6	0.0008	0.0004
MSD_folded7	0.0018	0.0007
MSD_folded8	0.0021	0.0006
MSD_folded9	0.0026	0.0008
MSD_folded10	0.0025	0.0002
MSD_folded11	0.0017	0.0009
MSD_folded13	0.0009	0.0002
MSD_folded14	0.0016	0.0007
MSD_folded16	0.0026	0.0008
MSD_folded17	0.0012	0.0001
MSD_folded19	0.0015	0.0007
MSD_folded20	0.0020	0.0009
MSD_folded21	0.0013	0.0004
MSD_folded22	0.0030	0.0004
MSD_folded23	0.0015	0.0005
MSD_folded24	0.0003	0.0002
MSD_folded25	0.0025	0.0010
MSD_folded26	0.0027	0.0014
MSD_folded27	0.0021	0.0007
MSD_folded30	0.0013	0.0003
MSD_folded33	0.0007	0.0004
MSD_folded36	0.0028	0.0010
MSD_folded38	0.0026	0.0004
MSD_folded39	0.0011	0.0003
MSD_folded43	0.0023	0.0005
MSD_folded44	0.0021	0.0003
MSD_folded45	0.0029	0.0008
MSD_folded48	0.0026	0.0005
MSD_folded51	0.0022	0.0011
MSD_folded56	0.0026	0.0007
MSD_folded57	0.0018	0.0008
MSD_folded59	0.0021	0.0005
MSD_folded61	0.0030	0.0012
MSD_folded62	0.0030	0.0000
MSD_folded63	0.0030	0.0013
MSD_folded68	0.0029	0.0010
MSD_folded73	0.0021	0.0004
MSD_folded74	0.0026	0.0009
MSD_folded77	0.0031	0.0009
MSD_folded78	0.0032	0.0009
MSD_folded79	0.0029	0.0013
MSD_folded81	0.0030	0.0010
MSD_folded83	0.0027	0.0012
MSD_folded84	0.0030	0.0002
MSD_folded86	0.0025	0.0012
MSD_folded88	0.0021	0.0002
MSD_folded90	0.0010	0.0005
MSD_folded94	0.0013	0.0006
MSD_folded95	0.0013	0.0005
MSD_folded98	0.0022	0.0010
